id,weight,feed,sex
1,179,horsebean,M
2,160,horsebean,M
3,136,horsebean,M
4,227,horsebean,M
5,217,horsebean,M
6,168,horsebean,F
7,108,horsebean,F
8,124,horsebean,F
9,143,horsebean,F
10,140,horsebean,F
11,309,linseed,M
12,229,linseed,M
13,181,linseed,M
14,260,linseed,M
15,203,linseed,M
16,169,linseed,F
17,213,linseed,F
18,257,linseed,F
19,244,linseed,F
20,271,linseed,F
21,243,soybean,M
22,230,soybean,M
23,248,soybean,M
24,327,soybean,M
25,329,soybean,M
26,271,soybean,F
27,316,soybean,F
28,267,soybean,F
29,199,soybean,F
30,171,soybean,F
31,423,sunflower,M
32,340,sunflower,M
33,392,sunflower,M
34,339,sunflower,M
35,341,sunflower,M
36,320,sunflower,F
37,295,sunflower,F
38,334,sunflower,F
39,322,sunflower,F
40,297,sunflower,F
41,325,meatmeal,M
42,257,meatmeal,M
43,303,meatmeal,M
44,315,meatmeal,M
45,380,meatmeal,M
46,153,meatmeal,F
47,263,meatmeal,F
48,242,meatmeal,F
49,206,meatmeal,F
50,344,meatmeal,F
51,368,casein,M
52,390,casein,M
53,379,casein,M
54,260,casein,M
55,404,casein,M
56,352,casein,F
57,359,casein,F
58,216,casein,F
59,222,casein,F
60,283,casein,F
